Satır 1 | Bitcoin | 150.000 doları görecek | Yıl sonu
Satır 2 | Ethereum | %40 değer kazanacak | Önümüzdeki 3 ay
Satır 3 | Solana | 250 dolar seviyesine ulaşır | Yaz sonuna kadar
Satır 4 | Avax | 100 doları test olacak | kısa vadede
Satır 5 | Binance Coin | 800 dolar | Yıl sonuna kadar
Satır 9 | Polkadot | 50 $ | orta vade
Satır 10 | Chainlink | 40 doları aşar | 1 yıl içinde
Satır 11 | THYAO hissesi | 450 TL'i aşacak | 6 ay içinde
Satır 12 | SASA | 80 TL olacak | Yıl sonuna kadar
Satır 13 | EREGL | 65 TL | 3 ay sonra
Satır 14 | KCHOL | %20 prim | kısa vadede
Satır 15 | TÜRKSAT | 250 TL | Yıl sonu
Satır 16 | ASELS | 100 TL | 6 ay içinde
Satır 17 | BİMAS | 500 TL | orta vade
Satır 19 | İSCTR | 20 TL''ye ulaşır | yıl sonuna kadar
Satır 20 | AKBNK | %15 yükselir | 3 ay içinde
Satır 21 | Dolar | 35 TL olacak | Haziran sonuna kadar
Satır 22 | Euro/TL | 42 TL | Yıl sonuna kadar
Satır 23 | Enflasyon | %30'a düşeceğine | önümüzdeki 12 ayda
Satır 24 | Sterlin |  | kısa vadede
Satır 27 |  | %40'a geriler | 6 ay içinde
Satır 28 | EUR/USD Paritesi | 1.15 | Yıl sonuna kadar
Satır 29 | Gram Altın | 4000 TL görür | 2026 sonunda
Satır 30 | Gümüş ons fiyatı | 1 yılda 35 dolara çıkar | Yıl
Satır 31 | petrol fiyatları | 100 doları aşar | 6 ay içinde
Satır 32 | Doğalgaz fiyatları | %20 artar | Kış sonuna kadar
Satır 34 | İşsizlik oranı | %9'a düşer | Yıl sonu
Satır 35 | İhracat | 300 milyon dolar | Yıl sonu
Satır 36 | Bütçe açığı | %5 azalır | Yıl sonunda
Satır 37 | Vergi gelirleri | %10 artışı | 6 ay içinde
Satır 38 | Turizm gelirleri | %15 büyüyecek | Bu yaz
Satır 40 | Bitcoin | %60 | yıl sonu
Satır 41 | Altın | 3000 dolara | sene sonuna kadar
Satır 42 | Dolar | 38 TL olacak | 6 ay
Satır 44 | Enflasyon | %35 | Yıl sonu
Satır 46 | Konut fiyatları | %5 azalır | Ay sonuna kadar
Satır 47 | Şirket raporundaki kâr beklentisi | 1 milyar TL | 
Satır 49 | Faiz | %5 düşer | Eylül
Satır 51 | Konut fiyatları | %40 artar | 1 yıl
Satır 52 | Kira fiyatları | %10 düşecek | 6 ay içinde
Satır 55 | Bakır fiyatları | %15 yükseliş | kısa vadede
Satır 56 | Platin ons fiyatı | 1200 dolar | Yıl sonuna kadar
Satır 58 | Ofis kiraları | %25 artış gösterir | Yıl
Satır 59 | yazlık fiyatları | %50 zamlanır | öngörülen yaz
Satır 60 | Kahve fiyatları | %10 geriler | 3 ay içinde
Satır 61 | S&P 500 | 6000 puanı aşar | Yıl sonuna kadar
Satır 62 | Nasdaq | %15 prim yapar | 
Satır 63 | Almanya'nn büyüme oranı | %1.5 | 2026 sonunda
Satır 64 | Japon Yeni | %5 değer kazanır | 3 ayda
Satır 67 | Çin | %8 artar | Önümüzdeki 6 ay
Satır 68 | Brent petrolü | 85 dolar | 3 ay içinde
Satır 69 | Paladyum fiyatı | 1500 dolara ulaşır | yıl sonuna kadar
Satır 70 | Şeker fiyatları | %12 artış | Önümüzdeki çeyrekte
Satır 72 | Tesla hissesi | 300 doları geçer | yıl sonuna kadar
Satır 73 | Nvidia'nin pazar payı | %10 daha artar | 1 yıl içinde
Satır 74 | Meta | 550 dolar | kısa vade
Satır 75 | Microsoft'un bulut gelirleri | 30 milyar dolar | Q4 sonuna
Satır 76 | Amazon hisseleri | %25 değer kazanır | 6 ay içinde
Satır 77 | iPhone | %12 büyüme | bu yıl
Satır 78 | Netflix abone sayısı | 300 milyona ulaşır | yıl sonunda
Satır 79 | Google hissesi | 200 dolar | orta vadede
Satır 80 | Adobe'nin net kârı | %18 artış | Önümüzdeki yıl
Satır 81 | Bitcoin | 150.000 dolar direncini kıracak | Yıl sonunda
Satır 82 | Ethereum | %40 değer kazanacak | Önümüzdeki 3 ay içinde
Satır 83 | Solana | 250 dolar seviyesine ulaşır | Yıl sonuna kadar
Satır 84 | Avax | 100 doları | kısa vadede
Satır 85 | THYAO Hissesi | 450 TL'ı aşacak | 6 ay içinde
Satır 87 | EREGL | 65 TL olacak | Önümüzdeki 3 ayda
Satır 89 | Dolar | 35 TL olacak | Haziran sonuna kadar
Satır 91 | Mevduat failleri | 500 baz puan geriler | 6 ay içinde
Satır 92 | Gram Altın | 4000 TL görecek | Yıl sonunda
Satır 94 | Petrol fiyatları | 100 doları aşar | 6 ay içinde
Satır 95 |  Doğalgaz fiyatları | %20 artar | Kış sonuna kadar
Satır 96 | İşsizlik oranı | %9'a düşer | Yıl sonuna kadar
Satır 98 | Dolar Kuru | %3 artar | Hafta sonuna kadar
Satır 101 | Nvidia | 1500 doları aşacak | 6 ay içinde
Satır 104 | AMD | 250 dollar | 6 ay içinde
Satır 106 | Dolar | 2500 TL olacak | Yıl sonu
Satır 107 | Eli Lilly | 1000 doları aşar | 3 ay içinde
Satır 108 | Ons Altın | 2800 dolar | Yıl sonu
Satır 109 | ABD Enflasyonu | %2.5'e iner | Yıl sonuna kadar
Satır 111 | EUR/USD paritesi | 1.12 | yıl sonuna kadar
Satır 113 | Alüminyum ton fiyatı | 3000 dolar olur | Yıl sonuna kadar
Satır 115 | Kakao fiyatları | None | Yıl sonuna kadar
Satır 116 | BIST 100 Endeksi | 15.000 puan | Yıl sonunda
Satır 118 | BTC | 200k dolar | Yıl sonunda
Satır 119 | ETH | 10k dolar | 1 yıl içinde
Satır 120 | Solana | 500 dolar | 2 yıl içinde
Satır 121 | XRP | 5 dolar | 1 yıl
Satır 123 | Link | 50 dolar direncini | 3 ayda
Satır 124 | Bakır | 12.000 doları | 6 ay içinde
Satır 125 | Bğday | %20 yükselir | Yıl sonuna kadar
Satır 126 | Mısır | 600 dolar seviyesini | 6 ayda
Satır 127 | Kahve | 300 doları | 3 ay içinde
Satır 128 | Sterlin | 50 TL olacak | Yıl sonu
Satır 129 | Nasdaq | 25.000 puan olacak | Yıl sonu
Satır 130 | Büyüme Oranı | %5 | Yıl sonu
Satır 131 | İhraçat | 300 milyar dolar | 1 yılda
Satır 132 | Togg | 2 milyon dolar | Yıl sonunda
Satır 133 | Yazılım ihracatı | 5 milyar dolar | 1 yılda
Satır 134 | Bitcoin | 120.000 dolar | 6 ay içinde
Satır 135 | Ethereum | 5500 dollars | yıl sonuna kadar
Satır 137 | Avax | %50 yükseliş | kısa vadede
Satır 138 | Link Hissesi | 60 doları aşar | 1 yıl içinde
Satır 140 | Cardano | 1.5 dolar | yıl sonuna kadar
Satır 142 | Chainlink | 45 dolar | orta vadede
Satır 143 | Polygon | %25 kazandırır | None
Satır 144 | THYAO | 550 TL seviyesine | yıl sonu
Satır 145 | TÜPERS | 280 TL | 6 ay içinde
Satır 146 | ASELS | > 110 TL | Önümüzdeki 3 ayda
Satır 147 | EREGL | 75 TL | Yıl sonu
Satır 148 | SASA | %20 prim | Short-term
Satır 149 | Sise | 95 TL olacak | 1 yıl içinde
Satır 151 | SAHOL | 140 TL | yıl sonuna kadar
Satır 153 | MGROS | 650 TL | Yıl sonu
Satır 154 | Dolar Kuru | 34.50 TL | 1 ay içinde
Satır 155 | Euro/TL | 38 TL'yi aşar | Haziran sonuna kadar
Satır 156 | Gram Altın | 3800 TL | Yıl sonuna kadar
Satır 158 | Gümüş gramı | 45 TL seviyesine | Yıl sonunda
Satır 160 | Brent petrol | 95 dolara çıkar | Yıl sonuna kadar
Satır 162 | ABD Enflasyonu | %2.2 | Yıl sonuna kadar
Satır 163 | Türkiye enflasyonu | %32'ye geriler | 1 yıl içinde
Satır 164 | FED faizleri | -25 baz puan | 3 ay içinde
Satır 165 | TCMB | %42' ye çeker | Yıl sonuna kadar
Satır 166 | EUR/USD Paritesi | 1.14 | 6 ay içinde
Satır 168 | BIST 100 endeksi | 12.500 puanı aşar | 3 ay içinde
Satır 169 | S&P 500 | 5800 puan | Yıl sonunda
Satır 170 | Nasdaq 100 endeksi | 21.000 puanı | 6 ay içinde
Satır 172 | Apple | 230 dolar | Yıl sonu
Satır 174 | Google | %30 değer kazanır | 1 yıl
Satır 175 | Meta | 520 Dolar | Önümüzdeki 3 ayda
Satır 176 | Amazon | 210 dolara | yıl sonuna kadar
Satır 177 | Tesla | 220 dolar direncini kıracak | Kısa vadede
Satır 178 | Netflix | 680 dollar | 6 ay içinde
Satır 179 | AMD | 200 dolar | Yıl sonu
Satır 181 | Coinbase | 350 dollar | Yıl sonuna kadar
Satır 182 | MicroStrategy | 2200 doları | 6 ay içinde
Satır 183 | Palantir | 45 dolar | yıl sonuna kadar
Satır 184 | Bakır ton fiyatı | 1 yılda 11.000 dolar | 1 yıl
Satır 186 | Lityum fiyatları | %40 artar | Yıl sonuna kadar
Satır 187 | Bügday fiyatları | %15 yükselir | 3 ay içinde
Satır 188 | Mısır kentali fiyatı | 550 dolar | yıl sonu
Satır 190 | Şeker ton fiyatı | 650 dolar olur | Yıl sonunda
Satır 193 | Portföyüm | %80 büyüyecek | Yıl sonuna kadar
Satır 194 | Nakit Oranı | %15 seviyesine iner | 3 ay içinde
Satır 195 | Temettü gelirim | 120.000 TL'yi aşacak | bu yıl
Satır 196 | yatırım fonları | %45 getiri sağlayacak | 6 ayda
Satır 199 | Asgari Ücret | 22.000 TL olacak | Yıl sonuna kadar
Satır 200 | Memur maaşları | %28 zamlanır | Yıl sonunda
Satır 201 | Türkiye GSYİH büyümesi | %3.5 | Bu yıl
Satır 202 | Kari açık | 25 milyon dolar | Yıl sonuna kadar
Satır 203 | İhraçat rakamları | 265 milyon dolar | Yıl sonu
Satır 204 | Turizm geliri | 55 milyar doları aşar | Bu sezon
Satır 205 | İşsizlik oranı | %9.2 | Yıl sonunda
Satır 206 | Dolar/TL | 39.50 TL | Yıl sonuna kadar
Satır 207 | Euro/TL | 37.20 TL | 3 ay içinde
Satır 208 | Sterlin | 48 TL'ye ulaşır | yıl sonuna kadar
Satır 209 | Bitcoin dominansı | %58 | 6 ay içinde
Satır 210 | Toplam kripto piyasa değeri | 3.2 trilyon dolar | Yıl sonuna kadar
Satır 212 | Optimism | 6.50 dolar | yıl sonuna kadar
Satır 216 | Dolar | 60 | yıl sonuna kadar
Satır 219 | Stacks | 4.50 dolara | yıl sonuna kadar
Satır 220 | Arweave | 45 USD olacak | 3 ay içinde
Satır 222 | Worldcoin | 12 Dolar | Yıl sonu
Satır 223 | Kazanç | %50 kazandırır | 3 ay
Satır 224 | Akbank hissesi | 75 TL | Yıl sonunda
Satır 225 | İş Bankası | 18 TL görecek | 6 ay içinde
Satır 226 | Garanti Bankası | 110 TL | yıl sonuna kadar
Satır 227 | Yapı Kredi Bankası | 35 TL'ye ulaşır | 3 ayda
Satır 228 | Koç Holding | 240 TL | Yıl sonu
Satır 229 | Sabancı Holding | 115 TL | 6 ay içinde
Satır 231 | Turkcell | 90 TL | 3 ay içinde
Satır 232 | Ford Otosan | 1250 TL | Yıl sonu
Satır 233 | Tofas | > 380 TL | 6 ay içinde
Satır 234 | Bitcoin | 180.000 dolar | önümüzdeki 12 ay içinde
Satır 235 | Ethereum | 8000 dolar seviyesine ulaşır | 2026 sonuna kadar
Satır 237 | Avax | 180 doları görür | Yıl sonuna kadar
Satır 238 | Cardano | %60 değer kazanacak | 3 ay
Satır 239 | Ripple | 3 Dolar | 1 yıl içinde
Satır 240 | Polkadot | 40 doları aşacak | 6 ay içinde
Satır 241 | Chainlink | 55 dolar | Yıl sonu
Satır 244 | THYAO hissesi | 650 TL olacak | yıl sonu
Satır 245 | TÜPRAŞ | 320 TL | 3 ay içinde
Satır 246 | ASELS | 150 TL olacak | 1 yıl içinde
Satır 247 | EREĞLİ | 90 TL | 6 ay içinde
Satır 249 | KCHOL | 350 TL | 
Satır 250 | Sahol | 200 TL aşar | 6 ay içinde
Satır 251 | BİMAS | 550 TL | Yıl sonu
Satır 252 | MGROS | 800 TL | 1 year
Satır 253 | Sise | %25 yükselir | 3 ay içinde
Satır 254 | Dolar kuru | 42 TL seviyesine gelir | Yıl sonunda
Satır 255 | Euro/TL | 48 TL | 6 ay içinde
Satır 256 | Gram Altın | 3200 TL | 3 ay içinde
Satır 258 | Gümüş Gramı | 50 TL | 6 Ay İçinde
Satır 259 | Gümüş | 40 dolara ulaşır | 1 yıl içinde
Satır 260 | Brent petrol | > 110 doları aşar | Kış sonu
Satır 261 | Doğalgaz fiyatları | %40 artış | 3 ayda
Satır 262 | ABD enflasyonu | %2.0 seviyesine geriler | 6 ay içinde
Satır 263 | Türkiye enflasyonu | %38 | Yıl sonu
Satır 264 | FED faizleri | 150 baz puan düşürür | Yıl sonuna kadar
Satır 265 | Faizler | %45'e çeker | 3 ay içinde
Satır 266 | EUR/USD Paritesi | 1.18 | Yıl içinde
Satır 267 | BIST 100 endeksi | 14.000 puanı aşar | 6 ay içinde
Satır 268 | S&P 500 Endeksi | 6200 puan | Yıl sonunda
Satır 269 | Nasdaq | %15 değer kazanır | 3 ay içinde
Satır 270 | Nvidia | 1600 doları görür | Yıl sonuna kadar
Satır 272 | Microsoft | %10 yükselir | 3 ay
Satır 273 | Google | 220 dolar | Yıl sonu
Satır 274 | Meta | 700 dolara ulaşır | 1 yıl içinde
Satır 275 | Amazon | 240 dolar | 6 ay içinde
Satır 276 | Tesla | 350 doları | yıl sonuna kadar
Satır 277 | Netflix | 750 dolar | 3 ay içinde
Satır 278 | AMD | 280 dolara çıkar | 6 ay içinde
Satır 279 | Intel | 55 dolar | Yıl sonu
Satır 280 | Coinbase | %40 prim yapar | 
Satır 281 | Microstrategy | 3000 USD | 1 year
Satır 282 | Palantir | 55 dolara | 6 ay içinde
Satır 283 | Snowflake | 300 doları aşar | Yıl sonunda
Satır 284 | Bakır | %15 artar | 6 ay içinde
Satır 285 | Alüminyum | %8 değer kazanır | 3 ayda
Satır 286 | Platin | 1300 dolar | Yıl sonuna kadar
Satır 289 | Mısır | %12 artış | yıl sonuna kadar
Satır 290 | Kahve fiyatları | %30 zamlanır | 3 ay içinde
Satır 292 | Pamuk | None | 6 ay içinde
Satır 295 | Temettü Geliri | 200.000 TL | 
Satır 297 | kira fiyatları | %10 | 3 ayda
Satır 298 | Asgari Ücret | 25.000 TL | Yıl sonuna kadar
Satır 299 | Memur maaşları | %35 zamlanır | 6 ay içinde
Satır 300 | Türkiye GSYİH | %4 | yıl sonunda
Satır 301 | Cari açık | 18 milyon dolar | 
Satır 302 | İhracat | 290 milyon dolar | Yıl sonu
Satır 303 | Turizm geliri | 65 milyon dolar | Bu yıl
Satır 304 | İşsizlik oranı | %8.8 | 6 ay içinde
Satır 306 | Bitcoin | %62 | 3 ay içinde
Satır 308 | Arbitrum | $5 | Yıl sonu
Satır 310 | Sui | 3.5 doları | 6 ay içinde
Satır 311 | Aptos | 35 dolar | Yıl sonu
Satır 312 | Celestia | 60 TL olacak | Yıl içinde
Satır 314 | Near Protocol | 15 $ | 6 months
Satır 315 | Dolar | 22 dolar | yıl sonuna kadar
Satır 316 | Stacks | 6 dolar | 3 ay içinde
Satır 317 | Fetch.ai | 5 dollars | 6 ay içinde
Satır 318 | Worldcoin | 20 doları | 1 yıl içinde
Satır 319 | Dolar | 1.5 | Yıl sonuna kadar
Satır 321 | İş Bankası | 22 TL'yi aşar | 6 ay içinde
Satır 322 | Garanti Bankası | 130 TL | Yıl sonuna kadar
Satır 323 | Yapı Kredi | 45 TL'ye ulaşır | 3 ayda
Satır 324 | Halkbank | 25 TL olacak | Yıl sonu
Satır 325 | Vakıfbank | 30 TL görür | 6 ay içinde
Satır 326 | TSKB | 18 TL | Yıl sonu
Satır 327 | Alark Holding | %30 prim | 3 ayda
Satır 328 | Enka İnşaat | 70 TL | 
Satır 329 | Tekfen | 95 TL'ye ulaşır | Yıl sonuna kadar
Satır 330 | Tav Havalimanları | 280 TL | 3 ayda
Satır 331 | Pegasus | 1800 TL görür | Yıl sonunda
Satır 332 |  Doğuş Otomotiv | 500 TL | 6 ay içinde
Satır 333 | Ford Otosan | 1400 TL | Yıl sonu
Satır 335 | Arçelik | 250 TL | 6 ay içinde
Satır 336 | Vestel | 120 TL'ye ulaşır | Yıl sonuna kadar
Satır 337 | Petkim | %20 değer kazanır | 
Satır 338 | Kardemir D | 55 TL | 6 ay içinde
Satır 339 | Türk Telekom | 70 TL | Yıl sonu
Satır 341 | Astor Enerji | 180 TL | üç ay içinde
Satır 342 | Kontrolmatik | 450 TL'ye ulaşır | 
Satır 343 | Smart Güneş | 120 TL | Yıl sonuna kadar
Satır 345 | EuroPower | 300 TL | 6 ay içinde
Satır 346 | Alfas Solar | 200 TL görür | Yıl sonuna kadar
Satır 347 | Cwne Enerji | 400 TL | 3 ayda
Satır 349 | Mia Teknoloji | 120 TL | Yıl sonu
Satır 350 | Reeder Teknoloji | 100 TL | 3 ayda
Satır 351 | Ebebek | 120 TL görür | 6 ay içinde
Satır 352 | Tab Gıda | 300 TL | Yıl sonuna kadar
Satır 354 | Enerya Enerji | 250 TL | 6 ay içinde
Satır 355 | Taten Enerji | 100 TL | Yıl sonu
Satır 356 | Altın | 200 TL olacak | 3 ay içinde
Satır 357 | Hareket Lojistik | 150 TL | 6 ay içinde
Satır 358 | Borsa İstanbul işlem hacmi | 200 milyon TL olur | Yıl sonu
Satır 359 | Yabancı Takas Oranı | %45'e çıkar | 6 ay içinde
Satır 360 | Merkez Bankası rezervleri | 160 milyar dolar | Yıl sonu
Satır 361 | Kredi derecelendirme notumuz | iki kademe artar | 1 yıl içinde
Satır 362 | CDS primi | -180 puan | üç ay içinde
Satır 363 | Konut kredisi faizleri | %2.5 | Yıl sonunda
Satır 364 | Taşıt kredisi hacmi | %15 azalır | 6 ay içinde
Satır 368 | Stablecoin | 1 milyar dolar | Yıl sonunda
Satır 370 | DeFi kilitli varlık değeri | 150 milyon dolar | Yıl sonu
Satır 372 | Coinbase gelirleri | %25 büyüme | Yıl sonu
Satır 374 | Tesla teslimat rakamları | 2.5 milyon araç | Yıl sonunda
Satır 375 | SpaceX |  | 1 year inside
Satır 377 | Apple hizmet gelirleri | 100 milyon dolar | Yıl sonu
Satır 378 | Microsoft Azure | %35 | 6 ay içinde
Satır 379 | Google reklam gelirleri | %12 artış | Yıl sonu
Satır 381 | Amazon Prime abone sayısı | 250 milyon | 6 ayda
Satır 384 | Adobe Creative Cloud Geliri | %15 büyür | 6 ay
Satır 385 | Salesforce | > 40 milyar dolar | Yıl sonunda
Satır 387 | Intel dökümhane gelirleri | %20 artar | 6 ayda
Satır 388 | TSMC | %10 verimliliğe ulaşır | yıl sonunda
Satır 390 | Arm lisans gelirleri | %30 büyüme | Yıl sonu
Satır 391 | Palantir | %50 artar | 6 ayda
Satır 392 | Snowflake günlük veri işleme hacmi | %45 yükselir | yıl sonunda
Satır 393 | Crowdstrike | 5 milyar dolar | yıllık tekrarlayan geliri
Satır 394 | Palo Alto Networks | %20 artacak | 6 ayda
Satır 395 | Zscaler bulut trafiği hacmi | %60 artar | yıl sonunda
Satır 396 | Datadog | %15 yükselir | Yıl
Satır 397 | MongoDB Atlas | %75'i | yıl sonu
Satır 398 | Visa temassız ödeme hacmi | %25 artış | 6 ayda
Satır 399 | Mastercard | %20 büyür | Yıl sonunda
Satır 400 | JP Morgan | %10 artar | 1 yılda
Satır 401 | Bank of America | 60 milyon | 6 ayda
Satır 402 | Goldman Sachs varlık yönetimi hacmi | 3 trilyon dolar | yıl sonunda
Satır 403 | Morgan Stanley yatırım bankacılığı geliri | %15 yükselir | 1 yılda
Satır 406 | Novo Nordisk Wegovy | 15 milyar dolar olur | Yıl sonu
Satır 407 | Pfizer onkoloji gelirleri | %25 artar | Yıl
Satır 408 | Moderna pipeline gelirleri | 5 milyar doları | Yıl sonu
Satır 409 | AstraZeneca | 5 adedi | 6 ayda
Satır 410 | Boeing 737 Max | aylık 50 adet | Yıl sonunda
Satır 411 | Airbus A321neo sipariş defteri | %10 genişler | Yıl
Satır 412 | Ferrari | 15.000 adede ulaşır | yıl sonunda
Satır 413 | Mercedes | %30 | 1 yıl
Satır 414 | BMW | 15 milyar Euro | yıl sonunda
Satır 415 | Volkswagen yazılım birimi zararı | %15 azalır | 6 ay içinde
Satır 416 | Altın | 2750 doları geçer | 3 ay içinde
Satır 418 | Bitcoin | 135.000 dolar olacak | Yıl sonu
Satır 420 | Dolar/TL | 34.20 TL seviyesinden başlar | Haftaya
Satır 421 | Borsa İstanbul | %2.5 artışla | Yarın
Satır 422 | Enflasyon | %42 | Yıl sonu
Satır 424 | Bitcoin |  | 2026 sonundaki
Satır 425 | Ethereum | 5.500 doları test eder | Önümüzdeki 3 ay içinde
Satır 426 | Dolar | 400 dolar direncini kıracak | Yıl sonuna kadar
Satır 427 | Avax | 150 dolar seviyesine | kısa vadede
Satır 428 | Binance Coin | %50 değer kazanacak | 6 ay içinde
Satır 429 | Ripple | 2.50 dolar | Sene sonuna kadar
Satır 430 | Cardano | %150 artış | önümüzdeki yıl
Satır 431 | Dogecoin | 0.80 cent | Q4 sonundaki
Satır 432 | Polkadot | 35 dolar | 6 ay içinde
Satır 433 | Chainlink | 50 doları aşar | 
Satır 434 | THYAO hisseleri | 600 TL seviyesini görür | Yıl sonunda
Satır 435 | TÜPERS | 300 TL seviyesine | 3 ay içinde
Satır 437 | EREG | 85 TL | yıl sonuna kadar
Satır 438 | SASA hissesi | 140 TL | 1 yıl içinde
Satır 439 | KCHOL | 320 TL seviyesine çıkar | kısa vadede
Satır 440 | Sahol | 160 TL | Yıl sonu
Satır 441 | BİMAs | 580 TL | 3 ay içinde
Satır 442 | MGROS | 750 TL | 6 ay içinde
Satır 443 | Sise hissesi | 110 TL olacak | Yıl sonu
Satır 444 | Dolar | 36.50 TL olacak | Haziran sonu
Satır 445 | Euro/TL | 46 TL'yu bulur | yıl sonuna kadar
